iter	Passed	Remaining
986	41428	67703
987	41473	67667
988	41518	67630
989	41559	67586
990	41597	67538
991	41648	67511
992	41689	67467
993	41732	67427
994	41771	67380
995	41810	67332
996	41850	67288
997	41885	67234
998	41921	67183
999	41969	67151
1000	42014	67113
1001	42060	67079
1002	42103	67038
1003	42139	66986
1004	42180	66942
1005	42211	66884
1006	42262	66856
1007	42306	66817
1008	42355	66787
1009	42395	66741
1010	42432	66690
1011	42473	66647
1012	42524	66620
1013	42570	66584
1014	42610	66539
1015	42655	66502
1016	42697	66461
1017	42738	66417
1018	42783	66380
1019	42819	66328
1020	42868	66297
1021	42909	66252
1022	42944	66200
1023	42983	66153
1024	43018	66101
1025	43055	66052
1026	43105	66021
1027	43155	65992
1028	43209	65968
1029	43248	65922
1030	43293	65884
1031	43336	65845
1032	43374	65796
1033	43419	65759
1034	43463	65720
1035	43510	65686
1036	43543	65629
1037	43590	65596
1038	43638	65562
1039	43682	65523
1040	43731	65492
1041	43767	65441
1042	43812	65404
1043	43863	65374
1044	43899	65324
1045	43939	65278
1046	43972	65223
1047	44011	65177
1048	44049	65129
1049	44088	65082
1050	44138	65052
1051	44185	65017
1052	44225	64972
1053	44261	64922
1054	44300	64876
1055	44338	64827
1056	44385	64794
1057	44421	64743
1058	44457	64692
1059	44500	64651
1060	44540	64606
1061	44575	64554
1062	44613	64506
1063	44660	64472
1064	44695	64420
1065	44738	64379
1066	44783	64342
1067	44821	64293
1068	44851	64234
1069	44883	64179
1070	44926	64139
1071	44968	64096
1072	45008	64051
1073	45056	64019
1074	45098	63976
1075	45142	63938
1076	45185	63897
1077	45229	63858
1078	45281	63830
1079	45330	63798
1080	45374	63758
1081	45417	63719
1082	45461	63679
1083	45497	63629
1084	45542	63591
1085	45579	63542
1086	45619	63497
1087	45657	63450
1088	45706	63418
1089	45747	63375
1090	45790	63334
1091	45834	63295
1092	45872	63248
1093	45911	63201
1094	45950	63155
1095	45989	63110
1096	46036	63075
1097	46075	63028
1098	46121	62992
1099	46164	62951
1100	46205	62908
1101	46245	62864
1102	46280	62812
1103	46307	62750
1104	46350	62709
1105	46399	62676
1106	46445	62640
1107	46489	62601
1108	46526	62553
1109	46563	62504
1110	46607	62465
1111	46652	62427
1112	46690	62380
1113	46732	62338
1114	46768	62288
1115	46806	62240
1116	46850	62201
1117	46881	62145
1118	46924	62104
1119	46971	62069
1120	47015	62030
1121	47053	61982
1122	47090	61934
1123	47132	61892
1124	47184	61863
1125	47223	61818
1126	47266	61777
1127	47309	61737
1128	47346	61689
1129	47391	61650
1130	47431	61606
1131	47470	61561
1132	47520	61528
1133	47566	61491
1134	47603	61444
1135	47640	61395
1136	47691	61366
1137	47736	61327
1138	47779	61287
1139	47825	61250
1140	47867	61208
1141	47904	61160
1142	47939	61109
1143	47981	61067
1144	48014	61014
1145	48048	60962
1146	48087	60916
1147	48131	60877
1148	48179	60842
1149	48214	60792
1150	48253	60746
1151	48295	60704
1152	48332	60656
1153	48373	60613
1154	48415	60571
1155	48458	60531
1156	48497	60486
1157	48527	60428
1158	48564	60380
1159	48610	60343
1160	48647	60296
1161	48696	60262
1162	48741	60224
1163	48783	60183
1164	48826	60142
1165	48871	60104
1166	48913	60062
1167	48966	60033
1168	49007	59990
1169	49052	59952
1170	49088	59903
1171	49130	59862
1172	49171	59819
1173	49209	59772
1174	49245	59723
1175	49291	59686
1176	49342	59655
1177	49385	59614
1178	49423	59568
1179	49462	59522
1180	49509	59487
1181	49543	59434
1182	49588	59397
1183	49626	59350
1184	49665	59305
1185	49710	59266
1186	49752	59224
1187	49785	59172
1188	49832	59136
1189	49877	59098
1190	49918	59055
1191	49962	59016
1192	50010	58981
1193	50053	58940
1194	50094	58897
1195	50139	58859
1196	50191	58828
1197	50237	58792
1198	50286	58758
1199	50335	58724
1200	50380	58686
1201	50424	58646
1202	50464	58602
1203	50506	58560
1204	50548	58518
1205	50595	58483
1206	50641	58445
1207	50684	58404
1208	50722	58357
1209	50762	58313
1210	50796	58263
1211	50841	58224
1212	50882	58181
1213	50918	58132
1214	50957	58087
1215	50998	58043
1216	51030	57991
1217	51070	57946
1218	51108	57900
1219	51142	57850
1220	51188	57812
1221	51224	57764
1222	51266	57722
1223	51316	57689
1224	51354	57642
1225	51398	57603
1226	51439	57559
1227	51480	57516
1228	51526	57479
1229	51561	57430
1230	51597	57382
1231	51638	57339
1232	51680	57296
1233	51719	57252
1234	51746	57193
1235	51785	57148
1236	51831	57111
1237	51877	57073
1238	51922	57035
1239	51970	56999
1240	52016	56962
1241	52060	56923
1242	52102	56881
1243	52139	56833
1244	52187	56798
1245	52234	56761
1246	52278	56722
1247	52320	56681
1248	52361	56637
1249	52404	56596
1250	52447	56555
1251	52491	56515
1252	52541	56483
1253	52568	56425
1254	52614	56387
1255	52662	56351
1256	52699	56305
1257	52742	56264
1258	52784	56222
1259	52830	56184
1260	52876	56147
1261	52913	56099
1262	52948	56051
1263	52986	56004
1264	53030	55965
1265	53067	55917
1266	53107	55873
1267	53150	55833
1268	53200	55799
1269	53245	55761
1270	53289	55721
1271	53335	55683
1272	53382	55646
1273	53429	55610
1274	53474	55571
1275	53521	55534
1276	53554	55483
1277	53600	55445
1278	53639	55401
1279	53684	55361
1280	53735	55329
1281	53781	55292
1282	53816	55242
1283	53858	55201
1284	53907	55165
1285	53957	55132
1286	53990	55081
1287	54020	55027
1288	54055	54978
1289	54099	54938
1290	54139	54894
1291	54183	54854
1292	54224	54811
1293	54264	54768
1294	54308	54728
1295	54353	54688
1296	54395	54646
1297	54443	54611
1298	54488	54572
1299	54531	54531
1300	54575	54491
1301	54620	54452
1302	54666	54414
1303	54706	54371
1304	54750	54331
1305	54794	54290
1306	54831	54243
1307	54875	54204
1308	54916	54161
1309	54958	54119
1310	55004	54081
1311	55048	54041
1312	55090	53999
1313	55135	53960
1314	55175	53916
1315	55219	53876
1316	55260	53833
1317	55301	53790
1318	55351	53756
1319	55388	53710
1320	55437	53675
1321	55478	53632
1322	55516	53586
1323	55557	53543
1324	55603	53505
1325	55650	53468
1326	55696	53429
1327	55743	53393
1328	55780	53346
1329	55823	53305
1330	55868	53265
1331	55907	53221
1332	55948	53178
1333	55990	53136
1334	56028	53090
1335	56069	53047
1336	56102	52997
1337	56153	52963
1338	56198	52924
1339	56243	52886
1340	56275	52833
1341	56314	52789
1342	56354	52745
1343	56393	52701
1344	56440	52664
1345	56483	52623
1346	56524	52579
1347	56565	52537
1348	56608	52496
1349	56643	52447
1350	56682	52402
1351	56720	52357
1352	56770	52322
1353	56817	52285
1354	56863	52247
1355	56901	52201
1356	56928	52146
1357	56968	52101
1358	57006	52057
1359	57052	52018
1360	57100	51982
1361	57152	51949
1362	57185	51898
1363	57233	51862
1364	57279	51824
1365	57323	51784
1366	57370	51747
1367	57412	51705
1368	57466	51673
1369	57500	51624
1370	57540	51580
1371	57587	51543
1372	57639	51510
1373	57679	51466
1374	57728	51430
1375	57761	51380
1376	57802	51338
1377	57844	51296
1378	57886	51254
1379	57932	51215
1380	57974	51173
1381	58028	51142
1382	58074	51103
1383	58122	51066
1384	58164	51024
1385	58204	50981
1386	58247	50940
1387	58294	50902
1388	58332	50856
1389	58367	50808
1390	58411	50768
1391	58455	50728
1392	58501	50690
1393	58544	50648
1394	58589	50609
1395	58632	50568
1396	58676	50528
1397	58718	50485
1398	58757	50441
1399	58803	50402
1400	58848	50363
1401	58884	50316
1402	58928	50275
1403	58973	50236
1404	59019	50197
1405	59060	50155
1406	59091	50104
1407	59135	50063
1408	59180	50024
1409	59222	49981
1410	59266	49941
1411	59307	49898
1412	59356	49862
1413	59398	49820
1414	59438	49777
1415	59475	49731
1416	59516	49688
1417	59561	49648
1418	59604	49607
1419	59637	49557
1420	59673	49510
1421	59714	49467
1422	59753	49424
1423	59792	49379
1424	59825	49329
1425	59864	49285
1426	59906	49242
1427	59946	49199
1428	59995	49163
1429	60041	49124
1430	60082	49081
1431	60125	49040
1432	60165	48997
1433	60205	48953
1434	60253	48916
1435	60294	48873
1436	60339	48834
1437	60381	48792
1438	60410	48739
1439	60454	48699
1440	60498	48659
1441	60544	48620
1442	60581	48574
1443	60621	48530
1444	60662	48488
1445	60709	48449
1446	60755	48411
1447	60797	48369
1448	60843	48330
1449	60882	48286
1450	60926	48245
1451	60962	48199
1452	61005	48157
1453	61044	48113
1454	61082	48068
1455	61125	48026
1456	61172	47989
1457	61210	47944
1458	61254	47903
1459	61298	47863
1460	61342	47823
1461	61389	47784
1462	61422	47735
1463	61468	47696
1464	61509	47653
1465	61554	47614
1466	61596	47572
1467	61630	47524
1468	61671	47481
1469	61715	47441
1470	61758	47399
1471	61800	47358
1472	61840	47314
1473	61878	47269
1474	61924	47230
1475	61974	47194
1476	62015	47151
1477	62062	47113
1478	62105	47072
1479	62148	47031
1480	62182	46983
1481	62230	46945
1482	62268	46900
1483	62307	46856
1484	62351	46816
1485	62396	46776
1486	62439	46734
1487	62477	46690
1488	62520	46648
1489	62560	46605
1490	62600	46562
1491	62640	46518
1492	62685	46478
1493	62727	46436
1494	62763	46390
1495	62800	46345
1496	62846	46305
1497	62887	46263
1498	62930	46222
1499	62967	46175
1500	63017	46139
1501	63053	46093
1502	63100	46055
1503	63140	46011
1504	63177	45966
1505	63214	45920
1506	63250	45874
1507	63292	45832
1508	63335	45791
1509	63381	45752
1510	63423	45710
1511	63465	45668
1512	63502	45622
1513	63535	45574
1514	63575	45531
1515	63618	45489
1516	63664	45450
1517	63707	45409
1518	63748	45366
1519	63780	45317
1520	63826	45278
1521	63864	45234
1522	63911	45195
1523	63953	45153
1524	63993	45109
1525	64033	45066
1526	64081	45028
1527	64128	44990
1528	64169	44948
1529	64220	44912
1530	64255	44865
1531	64296	44822
1532	64338	44781
